interval_start,location,category,sales_count,total_sales_value,sales_count_pct_within_location,sales_value_pct_within_location,sales_count_pct_of_grand_total,sales_value_pct_of_grand_total
2023-01-01 00:00:00+00,Online,Aksessuaarid,15,4635.00,21.43,21.72,5.75,5.78
2023-01-01 00:00:00+00,Online,Jalanõusid,17,6078.97,24.29,28.49,6.51,7.58
2023-01-01 00:00:00+00,Online,Laste_riided,11,1671.44,15.71,7.83,4.21,2.08
2023-01-01 00:00:00+00,Online,Meeste_riided,16,6059.08,22.86,28.40,6.13,7.56
2023-01-01 00:00:00+00,Online,Naiste_riided,11,2892.07,15.71,13.55,4.21,3.61
2023-01-01 00:00:00+00,Pärnu,Aksessuaarid,6,1280.24,19.35,16.04,2.30,1.60
2023-01-01 00:00:00+00,Pärnu,Jalanõusid,10,2921.78,32.26,36.61,3.83,3.64
2023-01-01 00:00:00+00,Pärnu,Laste_riided,5,831.57,16.13,10.42,1.92,1.04
2023-01-01 00:00:00+00,Pärnu,Meeste_riided,6,2181.79,19.35,27.34,2.30,2.72
2023-01-01 00:00:00+00,Pärnu,Naiste_riided,4,766.13,12.90,9.60,1.53,0.96
2023-01-01 00:00:00+00,Tallinn,Aksessuaarid,21,4992.83,18.26,13.11,8.05,6.23
2023-01-01 00:00:00+00,Tallinn,Jalanõusid,24,10719.03,20.87,28.14,9.20,13.37
2023-01-01 00:00:00+00,Tallinn,Laste_riided,18,2685.16,15.65,7.05,6.90,3.35
2023-01-01 00:00:00+00,Tallinn,Meeste_riided,30,11516.38,26.09,30.23,11.49,14.36
2023-01-01 00:00:00+00,Tallinn,Naiste_riided,22,8177.95,19.13,21.47,8.43,10.20
2023-01-01 00:00:00+00,Tartu,Aksessuaarid,9,831.29,20.00,6.50,3.45,1.04
2023-01-01 00:00:00+00,Tartu,Jalanõusid,12,4662.20,26.67,36.46,4.60,5.81
2023-01-01 00:00:00+00,Tartu,Laste_riided,6,783.77,13.33,6.13,2.30,0.98
2023-01-01 00:00:00+00,Tartu,Meeste_riided,10,4425.27,22.22,34.61,3.83,5.52
2023-01-01 00:00:00+00,Tartu,Naiste_riided,8,2085.24,17.78,16.31,3.07,2.60
2023-02-01 00:00:00+00,Online,Aksessuaarid,13,2534.14,15.12,10.71,4.71,3.15
2023-02-01 00:00:00+00,Online,Jalanõusid,19,7688.53,22.09,32.49,6.88,9.57
2023-02-01 00:00:00+00,Online,Laste_riided,18,2866.59,20.93,12.11,6.52,3.57
2023-02-01 00:00:00+00,Online,Meeste_riided,18,4797.32,20.93,20.27,6.52,5.97
2023-02-01 00:00:00+00,Online,Naiste_riided,18,5779.27,20.93,24.42,6.52,7.19
2023-02-01 00:00:00+00,Pärnu,Aksessuaarid,8,1379.57,21.62,11.42,2.90,1.72
2023-02-01 00:00:00+00,Pärnu,Jalanõusid,6,3363.03,16.22,27.83,2.17,4.19
2023-02-01 00:00:00+00,Pärnu,Laste_riided,6,739.60,16.22,6.12,2.17,0.92
2023-02-01 00:00:00+00,Pärnu,Meeste_riided,12,5041.45,32.43,41.72,4.35,6.27
2023-02-01 00:00:00+00,Pärnu,Naiste_riided,5,1560.26,13.51,12.91,1.81,1.94
2023-02-01 00:00:00+00,Tallinn,Aksessuaarid,21,3448.75,18.75,11.42,7.61,4.29
2023-02-01 00:00:00+00,Tallinn,Jalanõusid,20,7083.51,17.86,23.46,7.25,8.82
2023-02-01 00:00:00+00,Tallinn,Laste_riided,28,3699.25,25.00,12.25,10.14,4.60
2023-02-01 00:00:00+00,Tallinn,Meeste_riided,25,9908.65,22.32,32.81,9.06,12.33
2023-02-01 00:00:00+00,Tallinn,Naiste_riided,18,6058.64,16.07,20.06,6.52,7.54
2023-02-01 00:00:00+00,Tartu,Aksessuaarid,7,1387.66,17.07,9.64,2.54,1.73
2023-02-01 00:00:00+00,Tartu,Jalanõusid,8,5207.90,19.51,36.17,2.90,6.48
2023-02-01 00:00:00+00,Tartu,Laste_riided,10,1432.28,24.39,9.95,3.62,1.78
2023-02-01 00:00:00+00,Tartu,Meeste_riided,7,3545.43,17.07,24.63,2.54,4.41
2023-02-01 00:00:00+00,Tartu,Naiste_riided,9,2823.85,21.95,19.61,3.26,3.51
2023-03-01 00:00:00+00,Online,Aksessuaarid,18,2515.21,16.67,8.38,5.28,2.77
2023-03-01 00:00:00+00,Online,Jalanõusid,18,8115.46,16.67,27.02,5.28,8.93
2023-03-01 00:00:00+00,Online,Laste_riided,25,3798.72,23.15,12.65,7.33,4.18
2023-03-01 00:00:00+00,Online,Meeste_riided,22,8351.19,20.37,27.81,6.45,9.19
2023-03-01 00:00:00+00,Online,Naiste_riided,25,7251.20,23.15,24.15,7.33,7.98
2023-03-01 00:00:00+00,Pärnu,Aksessuaarid,7,1275.48,18.92,12.86,2.05,1.40
2023-03-01 00:00:00+00,Pärnu,Jalanõusid,8,3707.77,21.62,37.38,2.35,4.08
2023-03-01 00:00:00+00,Pärnu,Laste_riided,4,559.29,10.81,5.64,1.17,0.62
2023-03-01 00:00:00+00,Pärnu,Meeste_riided,7,2066.97,18.92,20.84,2.05,2.27
2023-03-01 00:00:00+00,Pärnu,Naiste_riided,11,2310.36,29.73,23.29,3.23,2.54
2023-03-01 00:00:00+00,Tallinn,Aksessuaarid,22,4275.71,16.30,12.04,6.45,4.70
2023-03-01 00:00:00+00,Tallinn,Jalanõusid,24,6758.97,17.78,19.03,7.04,7.43
2023-03-01 00:00:00+00,Tallinn,Laste_riided,36,5806.47,26.67,16.34,10.56,6.39
2023-03-01 00:00:00+00,Tallinn,Meeste_riided,29,9988.56,21.48,28.12,8.50,10.99
2023-03-01 00:00:00+00,Tallinn,Naiste_riided,24,8696.27,17.78,24.48,7.04,9.57
2023-03-01 00:00:00+00,Tartu,Aksessuaarid,11,2351.75,18.03,15.24,3.23,2.59
2023-03-01 00:00:00+00,Tartu,Jalanõusid,7,3733.27,11.48,24.19,2.05,4.11
2023-03-01 00:00:00+00,Tartu,Laste_riided,15,1909.26,24.59,12.37,4.40,2.10
2023-03-01 00:00:00+00,Tartu,Meeste_riided,16,4774.86,26.23,30.94,4.69,5.25
2023-03-01 00:00:00+00,Tartu,Naiste_riided,12,2664.22,19.67,17.26,3.52,2.93
2023-04-01 00:00:00+00,Online,Aksessuaarid,26,5026.39,23.01,16.08,7.62,4.99
2023-04-01 00:00:00+00,Online,Jalanõusid,25,7416.19,22.12,23.72,7.33,7.36
2023-04-01 00:00:00+00,Online,Laste_riided,19,2609.71,16.81,8.35,5.57,2.59
2023-04-01 00:00:00+00,Online,Meeste_riided,19,6719.02,16.81,21.49,5.57,6.67
2023-04-01 00:00:00+00,Online,Naiste_riided,24,9490.42,21.24,30.36,7.04,9.42
2023-04-01 00:00:00+00,Pärnu,Aksessuaarid,7,1685.39,19.44,14.35,2.05,1.67
2023-04-01 00:00:00+00,Pärnu,Jalanõusid,7,4295.10,19.44,36.58,2.05,4.26
2023-04-01 00:00:00+00,Pärnu,Laste_riided,13,2411.08,36.11,20.53,3.81,2.39
2023-04-01 00:00:00+00,Pärnu,Meeste_riided,4,1209.22,11.11,10.30,1.17,1.20
2023-04-01 00:00:00+00,Pärnu,Naiste_riided,5,2140.81,13.89,18.23,1.47,2.12
2023-04-01 00:00:00+00,Tallinn,Aksessuaarid,21,4287.94,18.26,12.91,6.16,4.25
2023-04-01 00:00:00+00,Tallinn,Jalanõusid,25,11664.24,21.74,35.12,7.33,11.57
2023-04-01 00:00:00+00,Tallinn,Laste_riided,21,2773.54,18.26,8.35,6.16,2.75
2023-04-01 00:00:00+00,Tallinn,Meeste_riided,24,5922.16,20.87,17.83,7.04,5.88
2023-04-01 00:00:00+00,Tallinn,Naiste_riided,24,8566.41,20.87,25.79,7.04,8.50
2023-04-01 00:00:00+00,Tartu,Aksessuaarid,19,3183.29,24.68,12.96,5.57,3.16
2023-04-01 00:00:00+00,Tartu,Jalanõusid,19,8998.95,24.68,36.63,5.57,8.93
2023-04-01 00:00:00+00,Tartu,Laste_riided,9,1164.95,11.69,4.74,2.64,1.16
2023-04-01 00:00:00+00,Tartu,Meeste_riided,14,6420.90,18.18,26.14,4.11,6.37
2023-04-01 00:00:00+00,Tartu,Naiste_riided,16,4799.36,20.78,19.54,4.69,4.76
2023-05-01 00:00:00+00,Online,Aksessuaarid,20,4196.30,16.81,13.04,5.83,4.49
2023-05-01 00:00:00+00,Online,Jalanõusid,23,8541.50,19.33,26.53,6.71,9.15
2023-05-01 00:00:00+00,Online,Laste_riided,22,4001.90,18.49,12.43,6.41,4.29
2023-05-01 00:00:00+00,Online,Meeste_riided,30,8931.84,25.21,27.75,8.75,9.57
2023-05-01 00:00:00+00,Online,Naiste_riided,24,6520.26,20.17,20.25,7.00,6.98
2023-05-01 00:00:00+00,Pärnu,Aksessuaarid,11,1814.86,28.21,20.90,3.21,1.94
2023-05-01 00:00:00+00,Pärnu,Jalanõusid,6,2113.09,15.38,24.34,1.75,2.26
2023-05-01 00:00:00+00,Pärnu,Laste_riided,5,817.56,12.82,9.42,1.46,0.88
2023-05-01 00:00:00+00,Pärnu,Meeste_riided,7,1217.71,17.95,14.03,2.04,1.30
2023-05-01 00:00:00+00,Pärnu,Naiste_riided,10,2718.34,25.64,31.31,2.92,2.91
2023-05-01 00:00:00+00,Tallinn,Aksessuaarid,27,3569.91,20.93,9.28,7.87,3.82
2023-05-01 00:00:00+00,Tallinn,Jalanõusid,24,9180.09,18.60,23.86,7.00,9.83
2023-05-01 00:00:00+00,Tallinn,Laste_riided,23,3108.83,17.83,8.08,6.71,3.33
2023-05-01 00:00:00+00,Tallinn,Meeste_riided,30,11599.13,23.26,30.14,8.75,12.42
2023-05-01 00:00:00+00,Tallinn,Naiste_riided,25,11020.24,19.38,28.64,7.29,11.80
2023-05-01 00:00:00+00,Tartu,Aksessuaarid,4,850.98,7.14,6.08,1.17,0.91
2023-05-01 00:00:00+00,Tartu,Jalanõusid,15,5337.47,26.79,38.11,4.37,5.72
2023-05-01 00:00:00+00,Tartu,Laste_riided,15,1496.89,26.79,10.69,4.37,1.60
2023-05-01 00:00:00+00,Tartu,Meeste_riided,12,2963.29,21.43,21.16,3.50,3.17
2023-05-01 00:00:00+00,Tartu,Naiste_riided,10,3355.92,17.86,23.96,2.92,3.59
2023-06-01 00:00:00+00,Online,Aksessuaarid,22,5937.44,18.97,16.23,5.19,4.74
2023-06-01 00:00:00+00,Online,Jalanõusid,28,12899.18,24.14,35.26,6.60,10.31
