customer_id,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,Segment,Weighted_RFM_Score,Advanced_Segment
2001.0,91,2,203.92000000000002,4,1,1,6,At Risk,7,At Risk
2004.0,71,2,1198.56,4,1,4,9,Potential,13,Regular Customers
2005.0,148,4,959.5999999999999,3,4,3,10,Loyal,13,Regular Customers
2006.0,477,1,327.06,1,1,1,3,Lost,4,Lost
2007.0,29,1,318.63,5,1,1,7,Potential,8,New Customers
2008.0,76,5,1294.32,4,4,4,12,Loyal,16,Loyal Customers
2009.0,224,3,2255.21,2,3,5,10,Loyal,15,Regular Customers
2012.0,304,3,841.5,2,3,3,8,Potential,11,New Customers
2013.0,145,2,364.20000000000005,3,1,2,6,At Risk,8,At Risk
2014.0,430,5,1066.15,1,4,4,9,Potential,13,Regular Customers
2015.0,13,2,345.24,5,1,1,7,Potential,8,New Customers
2016.0,588,1,664.26,1,1,3,5,At Risk,8,At Risk
2017.0,386,4,904.65,1,4,3,8,Potential,11,New Customers
2018.0,222,3,1281.17,2,3,4,9,Potential,13,Regular Customers
2019.0,247,5,1653.15,2,4,5,11,Loyal,16,Loyal Customers
2020.0,97,3,923.9,4,3,3,10,Loyal,13,Regular Customers
2022.0,194,5,814.1700000000001,3,4,3,10,Loyal,13,Regular Customers
2023.0,398,1,583.71,1,1,2,4,At Risk,6,Lost
2024.0,32,2,345.93,5,1,1,7,Potential,8,New Customers
2025.0,70,6,1804.79,4,5,5,14,VIP Champions,19,VIP Champions
2026.0,83,7,1933.66,4,5,5,14,VIP Champions,19,VIP Champions
2027.0,65,4,1357.05,4,4,4,12,Loyal,16,Loyal Customers
2028.0,107,3,496.83000000000004,4,3,2,9,Potential,11,Regular Customers
2029.0,278,3,1888.0600000000002,2,3,5,10,Loyal,15,Regular Customers
2030.0,160,2,2391.13,3,1,5,9,Potential,14,Regular Customers
2031.0,115,6,2052.0499999999997,4,5,5,14,VIP Champions,19,VIP Champions
2032.0,117,1,215.58,4,1,1,6,At Risk,7,At Risk
2033.0,140,3,950.18,3,3,3,9,Potential,12,Regular Customers
2034.0,104,5,1431.18,4,4,5,13,VIP Champions,18,VIP Champions
2035.0,241,3,1481.19,2,3,5,10,Loyal,15,Regular Customers
2036.0,110,2,571.48,4,1,2,7,Potential,9,New Customers
2037.0,60,3,893.3000000000001,4,3,3,10,Loyal,13,Regular Customers
2038.0,293,1,1484.2,2,1,5,8,Potential,13,New Customers
2040.0,134,3,453.53999999999996,3,3,2,8,Potential,10,New Customers
2041.0,725,2,1275.25,1,1,4,6,At Risk,10,At Risk
2042.0,152,2,147.0,3,1,1,5,At Risk,6,At Risk
2044.0,107,3,419.37,4,3,2,9,Potential,11,Regular Customers
2046.0,98,7,1422.57,4,5,4,13,VIP Champions,17,VIP Champions
2047.0,312,1,196.91,2,1,1,4,At Risk,5,Lost
2048.0,114,2,264.74,4,1,1,6,At Risk,7,At Risk
2049.0,117,4,1364.73,4,4,4,12,Loyal,16,Loyal Customers
2050.0,117,3,591.24,4,3,2,9,Potential,11,Regular Customers
2051.0,47,3,956.89,5,3,3,11,Loyal,14,Loyal Customers
2052.0,143,3,1073.25,3,3,4,10,Loyal,14,Regular Customers
2053.0,319,4,1198.6200000000001,2,4,4,10,Loyal,14,Regular Customers
2054.0,277,4,913.91,2,4,3,9,Potential,12,Regular Customers
2055.0,92,2,494.63,4,1,2,7,Potential,9,New Customers
2056.0,29,3,226.03,5,3,1,9,Potential,10,Regular Customers
2058.0,11,1,312.26,5,1,1,7,Potential,8,New Customers
2059.0,81,4,1044.97,4,4,4,12,Loyal,16,Loyal Customers
2061.0,681,1,57.08,1,1,1,3,Lost,4,Lost
2062.0,71,2,387.70000000000005,4,1,2,7,Potential,9,New Customers
2063.0,332,1,81.48,1,1,1,3,Lost,4,Lost
2064.0,192,4,900.95,3,4,3,10,Loyal,13,Regular Customers
2065.0,220,1,45.21,2,1,1,4,At Risk,5,Lost
2066.0,241,2,351.95000000000005,2,1,2,5,At Risk,7,At Risk
2067.0,115,3,709.47,4,3,3,10,Loyal,13,Regular Customers
2068.0,80,4,783.78,4,4,3,11,Loyal,14,Loyal Customers
2069.0,23,4,1310.02,5,4,4,13,VIP Champions,17,VIP Champions
2070.0,27,5,1741.54,5,4,5,14,VIP Champions,19,VIP Champions
2071.0,289,5,493.20000000000005,2,4,2,8,Potential,10,New Customers
2072.0,17,2,541.34,5,1,2,8,Potential,10,New Customers
2073.0,401,2,2233.7000000000003,1,1,5,7,Potential,12,New Customers
2074.0,526,3,1231.97,1,3,4,8,Potential,12,New Customers
2075.0,69,3,581.54,4,3,2,9,Potential,11,Regular Customers
2076.0,401,1,351.62,1,1,2,4,At Risk,6,Lost
2077.0,59,4,1632.05,5,4,5,14,VIP Champions,19,VIP Champions
2078.0,539,3,659.35,1,3,3,7,Potential,10,New Customers
2079.0,160,2,187.20999999999998,3,1,1,5,At Risk,6,At Risk
2080.0,198,3,1063.2,3,3,4,10,Loyal,14,Regular Customers
2081.0,334,3,792.99,1,3,3,7,Potential,10,New Customers
2082.0,151,2,520.61,3,1,2,6,At Risk,8,At Risk
2083.0,1,2,605.69,5,1,2,8,Potential,10,New Customers
2084.0,169,2,527.21,3,1,2,6,At Risk,8,At Risk
2085.0,65,4,606.26,4,4,2,10,Loyal,12,Regular Customers
2087.0,208,3,936.1800000000001,2,3,3,8,Potential,11,New Customers
2088.0,171,1,439.66,3,1,2,6,At Risk,8,At Risk
2090.0,189,3,935.06,3,3,3,9,Potential,12,Regular Customers
2091.0,206,2,1216.95,2,1,4,7,Potential,11,New Customers
2092.0,315,1,405.04,2,1,2,5,At Risk,7,At Risk
