log_id,session_id,customer_id,visit_date,page_viewed,device_type,duration_seconds,source,country
1,sess-88c9-0433,2836,2024-02-17,/category/naiste_riided,desktop,36,google,EE
2,sess-88c9-0433,2836,2024-02-17,/,desktop,254,google_organic,EE
3,sess-88c9-0433,2836,2024-02-17,/new-arrivals,desktop,128,google_organic,EE
4,sess-88c9-0433,2836,2024-02-17,/category/meeste_riided,desktop,0,google_organic,EE
5,sess-f4e0-3e24,4203,2024-04-08,/account,desktop,0,facebook_ads,EE
6,sess-f4e0-3e24,4203,2024-04-08,/category/laste_riided,desktop,143,facebook_ads,EE
7,sess-b6df-1321,2978,2023-04-29,/,desktop,70,facebook_ads,EE
8,sess-b6df-1321,2978,2023-04-29,/checkout,desktop,179,facebook_ads,EE
9,sess-1fb9-6395,2109,2023-08-11,/category/laste_riided,mobile,264,instagram,EE
10,sess-1fb9-6395,2109,2023-08-11,/products,mobile,0,instagram,EE
11,sess-1fb9-6395,2109,2023-08-11,/category/naiste_riided,mobile,236,instagram,EE
12,sess-1fb9-6395,2109,2023-08-11,/,mobile,65,instagram,EE
13,sess-6d80-8c5d,2551,2023-09-17,/category/laste_riided,desktop,76,google_organic,EE
14,sess-6d80-8c5d,2551,2023-09-17,/products,desktop,102,google_organic,EE
15,sess-6d80-8c5d,2551,2023-09-17,/checkout,desktop,342,google_organic,EE
16,sess-6d80-8c5d,2551,2023-09-17,/checkout,desktop,107,google organic,EE
17,sess-6d80-8c5d,2551,2023-09-17,/blog,desktop,186,google_organic,EE
18,sess-6d80-8c5d,2551,2023-09-17,/products,desktop,120,google_organic,EE
19,sess-5d5c-f8e8,2505,2024-10-31,/contact,desktop,165,google_organic,EE
20,sess-5d5c-f8e8,2505,2024-10-31,/about,desktop,28,google_organic,EE
21,sess-5d5c-f8e8,2505,2024-10-31,/,desktop,128,google_organic,EE
22,sess-5d5c-f8e8,2505,2024-10-31,/sale,desktop,7,google_organic,EE
23,sess-5d5c-f8e8,2505,2024-10-31,/about,desktop,160,google_organic,EE
24,sess-5d5c-f8e8,2505,2024-10-31,/products,desktop,131,google_organic,EE
25,sess-8f42-c77c,4807,2024-11-26,/cart,desktop,120,instagram,EE
