movement_id,product_id,location,movement_type,quantity,timestamp,reference
1,1116,tartu,OUT,-33,2025-01-25,ORD-34715
2,1165,ladu,OUT,-33,2024-03-15,ORD-96798
3,1295,tallinn,IN,117,2024-07-31,PO-76586
4,1029,tallinn,IN,38,2024-05-19,PO-96017
5,1039,pärnu,IN,84,2025-02-08,PO-75950
6,1038,pärnu,ADJUSTMENT,23,2024-05-09,ADJ-7439
7,1169,pärnu,IN,108,2024-05-12,PO-44433
8,1247,tallinn,IN,73,2024-05-04,PO-62513
9,1079,tartu,OUT,-42,2024-07-05,ORD-94505
10,1072,pärnu,OUT,-47,2024-12-31,ORD-46850
11,1191,tartu,IN,57,2024-12-07,PO-34415
12,1224,tartu,IN,42,2024-07-20,PO-30358
13,1066,ladu,OUT,-28,2024-01-13,ORD-97336
14,1069,pärnu,OUT,-50,2024-12-04,ORD-67982
15,1264,ladu,OUT,-34,2025-01-04,ORD-71930
16,1274,tartu,IN,50,2024-12-28,PO-34735
17,1175,ladu,ADJUSTMENT,-6,2024-08-01,ADJ-1125
18,1059,pärnu,TRANSFER,66,2024-04-06,TRANSFER-4639
19,1137,pärnu,OUT,-24,2024-02-23,ORD-45767
20,1111,tartu,OUT,-6,2024-02-19,ORD-78930
21,1179,tartu,OUT,-4,2024-01-09,ORD-91380
22,1229,ladu,OUT,-2,2024-01-25,ORD-75490
23,1096,ladu,OUT,-20,2024-08-16,ORD-35572
24,1163,tallinn,IN,54,2024-01-01,PO-18471
25,1160,tallinn,IN,25,2024-03-02,PO-67911
26,1337,pärnu,IN,156,2024-04-15,PO-80107
27,1205,tallinn,ADJUSTMENT,14,2025-01-26,ADJ-2007
28,1013,tartu,OUT,-5,2024-02-03,ORD-66306
29,1018,ladu,OUT,-20,2024-05-31,ORD-13573
30,1222,ladu,IN,182,2024-12-29,PO-73615
31,1027,tallinn,OUT,-13,2024-11-24,ORD-64842
32,1347,ladu,TRANSFER,-60,2024-02-26,TRANSFER-5207
33,1303,tallinn,OUT,-5,2024-10-01,ORD-66691
34,1215,tartu,IN,195,2024-05-24,PO-47655
35,1078,ladu,ADJUSTMENT,15,2024-08-19,ADJ-1899
36,1136,tartu,OUT,-31,2024-03-03,ORD-94951
37,1221,tallinn,OUT,-31,2024-08-21,ORD-67644
38,1123,pärnu,OUT,-38,2024-10-29,ORD-24838
39,1067,tallinn,OUT,-26,2025-02-27,ORD-73504
40,1173,ladu,OUT,-29,2024-04-23,ORD-32227
41,1186,tallinn,ADJUSTMENT,-21,2025-02-10,ADJ-6568
42,1271,tartu,IN,35,2025-02-24,PO-12759
43,1064,ladu,OUT,-7,2024-12-18,ORD-64305
44,1027,tartu,TRANSFER,-29,2024-02-28,TRANSFER-4922
45,1032,tallinn,ADJUSTMENT,19,2024-08-03,ADJ-6321
46,1258,ladu,OUT,-9,2024-09-07,ORD-84137
47,1150,pärnu,IN,64,2024-01-11,PO-41278
48,1179,tallinn,OUT,-31,2024-04-17,ORD-75859
49,1258,ladu,OUT,-36,2024-06-12,ORD-65103
50,1115,tallinn,IN,89,2024-12-09,PO-37540
51,1098,tartu,TRANSFER,81,2024-03-21,TRANSFER-6265
52,1317,ladu,ADJUSTMENT,-3,2025-02-12,ADJ-2247
53,1336,pärnu,TRANSFER,63,2024-11-13,TRANSFER-6058
54,1322,tallinn,OUT,-50,2024-07-09,ORD-12231
55,1116,pärnu,ADJUSTMENT,-17,2024-05-10,ADJ-7081
56,1018,tartu,OUT,-30,2024-01-11,ORD-93476
57,1060,pärnu,IN,102,2024-09-10,PO-31388
58,1308,tallinn,OUT,-48,2025-02-08,ORD-12411
59,1207,tartu,IN,15,2024-09-03,PO-43461
60,1143,tartu,IN,113,2024-07-04,PO-46230
61,1019,tallinn,ADJUSTMENT,18,2024-08-14,ADJ-6587
62,1289,pärnu,IN,100,2024-11-28,PO-26560
63,1149,pärnu,OUT,-35,2024-12-19,ORD-13033
64,1165,pärnu,IN,115,2024-09-09,PO-25917
65,1350,tartu,IN,79,2024-10-12,PO-49616
66,1302,tallinn,OUT,-8,2024-05-21,ORD-62050
67,1290,tallinn,ADJUSTMENT,-4,2024-11-30,ADJ-7244
68,1228,tallinn,OUT,-9,2024-04-08,ORD-66586
69,1258,tallinn,OUT,-1,2024-01-14,ORD-89322
70,1075,pärnu,TRANSFER,-47,2024-05-11,TRANSFER-6843
71,1026,pärnu,OUT,-45,2024-06-12,ORD-98441
72,1178,tallinn,IN,47,2024-05-28,PO-79041
73,1343,tartu,OUT,-9,2024-09-21,ORD-16128
74,1349,ladu,IN,26,2024-07-23,PO-48381
75,1069,tartu,OUT,-16,2024-03-14,ORD-73450
76,1340,tartu,IN,95,2024-07-11,PO-87957
77,1012,tartu,TRANSFER,71,2024-03-02,TRANSFER-3706
78,1296,pärnu,OUT,-15,2024-12-19,ORD-52010
79,1253,ladu,ADJUSTMENT,-27,2024-01-07,ADJ-2377
80,1233,tallinn,ADJUSTMENT,-30,2024-01-31,ADJ-7884
81,1093,ladu,OUT,-20,2024-08-18,ORD-47712
82,1219,tallinn,IN,129,2024-01-03,PO-86377
83,1126,tallinn,OUT,-4,2025-02-11,ORD-28996
84,1350,tartu,OUT,-34,2024-04-26,ORD-44052
85,1335,tallinn,OUT,-14,2025-02-25,ORD-13273
86,1070,tartu,IN,77,2024-04-30,PO-51859
87,1064,pärnu,IN,100,2024-05-29,PO-12646
88,1202,pärnu,OUT,-39,2024-08-31,ORD-99619
89,1014,pärnu,TRANSFER,56,2024-12-19,TRANSFER-3219
90,1020,tartu,OUT,-19,2024-02-22,ORD-15101
91,1014,ladu,ADJUSTMENT,29,2024-02-28,ADJ-5295
92,1223,ladu,ADJUSTMENT,28,2024-05-07,ADJ-4226
93,1148,pärnu,ADJUSTMENT,30,2024-01-21,ADJ-3197
94,1240,ladu,ADJUSTMENT,-13,2024-06-30,ADJ-4744
95,1322,pärnu,IN,47,2024-03-06,PO-54025
96,1324,ladu,IN,199,2025-01-12,PO-21281
97,1184,ladu,IN,183,2024-09-26,PO-89700
98,1309,ladu,TRANSFER,86,2024-05-20,TRANSFER-8197
99,1079,tartu,ADJUSTMENT,10,2024-07-04,ADJ-3629
100,1135,tallinn,IN,172,2024-01-16,PO-39216
101,1278,pärnu,OUT,-35,2024-12-16,ORD-67011
102,1139,tartu,ADJUSTMENT,-5,2024-09-07,ADJ-6021
103,1174,tartu,OUT,-43,2024-09-19,ORD-59523
104,1205,pärnu,OUT,-32,2025-01-11,ORD-91869
105,1198,tallinn,OUT,-39,2024-03-30,ORD-81870
106,1109,pärnu,OUT,-44,2024-11-01,ORD-14462
107,1109,tartu,IN,75,2024-10-15,PO-53298
108,1320,tallinn,IN,139,2024-07-08,PO-74548
109,1315,pärnu,OUT,-36,2024-11-24,ORD-72888
110,1058,pärnu,OUT,-3,2024-01-19,ORD-25109
111,1305,ladu,IN,22,2024-08-29,PO-22312
112,1305,pärnu,IN,71,2024-11-22,PO-57387
113,1335,pärnu,TRANSFER,89,2024-08-30,TRANSFER-9572
114,1058,pärnu,ADJUSTMENT,11,2024-06-10,ADJ-6831
115,1070,ladu,IN,107,2024-03-20,PO-66749
116,1239,ladu,OUT,-45,2024-09-28,ORD-13174
117,1134,pärnu,ADJUSTMENT,8,2024-11-08,ADJ-7354
118,1238,ladu,IN,48,2024-08-07,PO-95126
119,1220,pärnu,ADJUSTMENT,30,2025-01-24,ADJ-3069
120,1060,ladu,OUT,-4,2024-01-23,ORD-29812
121,1245,ladu,IN,89,2024-11-07,PO-58067
122,1137,tartu,OUT,-37,2024-03-26,ORD-74798
123,1099,ladu,OUT,-12,2024-12-07,ORD-89309
124,1335,tartu,OUT,-1,2024-01-22,ORD-79258
125,1215,pärnu,ADJUSTMENT,-5,2024-06-27,ADJ-1795
126,1088,ladu,IN,5,2025-01-24,PO-73778
127,1113,pärnu,IN,166,2024-12-30,PO-50084
128,1248,pärnu,TRANSFER,-39,2025-02-06,TRANSFER-5933
129,1334,tartu,OUT,-24,2025-02-06,ORD-49237
130,1279,tartu,TRANSFER,-12,2024-02-03,TRANSFER-8362
131,1280,pärnu,IN,191,2025-02-01,PO-76876
132,1194,tallinn,OUT,-34,2024-11-01,ORD-55313
133,1152,tartu,OUT,-29,2024-04-16,ORD-79703
134,1272,tallinn,OUT,-1,2025-01-27,ORD-67291
135,1256,pärnu,IN,106,2024-03-16,PO-30929
136,1188,pärnu,OUT,-29,2024-05-31,ORD-18855
137,1126,tartu,OUT,-44,2024-07-31,ORD-64357
138,1059,tallinn,IN,88,2024-04-04,PO-30288
139,1270,pärnu,IN,193,2024-01-22,PO-56551
140,1150,tallinn,IN,98,2025-01-29,PO-92976
141,1022,pärnu,OUT,-22,2024-09-02,ORD-95642
142,1243,pärnu,OUT,-25,2024-02-09,ORD-13324
143,1255,ladu,OUT,-8,2024-07-22,ORD-35661
144,1226,pärnu,OUT,-13,2024-09-08,ORD-60514
145,1322,tartu,TRANSFER,78,2024-11-28,TRANSFER-9037
146,1049,ladu,OUT,-43,2024-03-19,ORD-44137
147,1154,pärnu,IN,130,2024-10-06,PO-77743
148,1023,pärnu,OUT,-7,2024-08-31,ORD-80255
149,1228,tartu,ADJUSTMENT,4,2024-01-26,ADJ-6422
150,1089,tallinn,OUT,-6,2025-02-11,ORD-15745
151,1201,tartu,OUT,-2,2024-04-04,ORD-41885
152,1136,ladu,IN,108,2024-11-23,PO-24526
153,1312,pärnu,IN,132,2024-05-31,PO-46678
154,1104,ladu,OUT,-24,2024-07-07,ORD-23312
155,1040,pärnu,TRANSFER,42,2024-12-21,TRANSFER-3525
156,1074,pärnu,IN,96,2024-01-13,PO-96576
157,1297,pärnu,IN,117,2024-01-19,PO-60823
158,1167,ladu,IN,89,2024-04-22,PO-97658
159,1283,ladu,IN,154,2024-10-14,PO-70003
160,1229,pärnu,ADJUSTMENT,-16,2024-08-14,ADJ-3485
161,1167,pärnu,OUT,-48,2025-02-08,ORD-38427
162,1291,pärnu,ADJUSTMENT,8,2024-08-13,ADJ-1521
163,1306,pärnu,IN,63,2024-07-12,PO-47958
164,1207,pärnu,OUT,-17,2024-03-30,ORD-14154
165,1053,tallinn,OUT,-30,2024-07-15,ORD-73636
166,1307,tallinn,OUT,-3,2025-01-21,ORD-82799
167,1055,ladu,IN,65,2024-12-25,PO-62509
168,1100,pärnu,OUT,-43,2025-01-16,ORD-63457
169,1143,ladu,IN,150,2024-12-19,PO-42707
170,1349,ladu,ADJUSTMENT,-21,2024-02-08,ADJ-1641
171,1065,tallinn,OUT,-24,2024-08-16,ORD-26576
172,1345,tartu,IN,183,2024-12-20,PO-52725
173,1319,pärnu,OUT,-15,2024-02-23,ORD-74401
174,1303,tartu,IN,27,2024-11-07,PO-29542
175,1128,tallinn,OUT,-19,2024-09-05,ORD-66924
176,1073,ladu,IN,172,2024-08-22,PO-95552
177,1070,pärnu,OUT,-32,2025-01-04,ORD-36157
178,1096,pärnu,IN,199,2024-05-21,PO-42931
179,1212,tartu,IN,120,2024-03-23,PO-86597
180,1294,pärnu,IN,17,2024-02-02,PO-98503
181,1032,tallinn,OUT,-27,2024-10-15,ORD-46580
182,1197,pärnu,IN,16,2025-01-10,PO-81735
