inventory_id,product_id,location,quantity_available,reorder_point,last_updated
1,1001,tallinn,66,17,2025-02-03
2,1001,tartu,99,16,2025-02-13
3,1001,pärnu,10,11,2025-01-19
4,1001,ladu,86,26,2025-01-31
5,1002,tallinn,125,48,2025-01-24
6,1002,tartu,83,24,2025-02-21
7,1002,pärnu,31,34,2025-01-08
8,1002,ladu,9739,45,2024-07-10
9,1003,tallinn,82,22,2025-01-29
10,1003,tartu,41,45,2025-02-25
11,1003,pärnu,6,22,2025-02-07
12,1003,ladu,420,42,2025-02-10
13,1004,tallinn,52,47,2025-01-27
14,1004,tartu,17,25,2025-01-20
15,1004,pärnu,-24,42,2025-02-20
16,1004,ladu,271,34,2025-02-19
17,1005,tallinn,44,34,2025-01-29
18,1005,tartu,116,27,2024-09-26
19,1005,pärnu,96,50,2025-01-18
20,1005,ladu,7029,16,2025-01-22
21,1006,tallinn,77,10,2025-02-10
22,1006,tartu,54,31,2025-02-26
23,1006,pärnu,52,14,2025-01-20
24,1006,ladu,47,41,2025-02-02
25,1007,tallinn,111,44,2025-01-03
26,1007,tartu,135,30,2025-02-25
27,1007,pärnu,102,32,2025-01-05
28,1007,ladu,243,16,2025-01-09
29,1008,tallinn,20,23,2025-01-29
30,1008,tartu,114,47,2025-01-01
31,1008,pärnu,48,46,2025-02-16
32,1008,ladu,18,17,2024-04-18
33,1009,tallinn,127,49,2025-02-01
34,1009,tartu,95,24,2025-01-17
35,1009,pärnu,51,13,2025-01-19
36,1009,ladu,291,44,2025-02-26
37,1010,tallinn,52,43,2025-01-06
38,1010,tartu,30,33,2025-02-11
39,1010,pärnu,130,21,2024-06-01
40,1010,ladu,328,42,2024-07-08
41,1011,tallinn,131,24,2025-02-06
42,1011,tartu,87,14,2025-01-04
43,1011,pärnu,139,11,2025-02-27
44,1011,ladu,268,46,2025-01-27
45,1012,tallinn,19,11,2024-06-25
46,1012,tartu,79,36,2025-01-01
47,1012,pärnu,22,50,2025-02-16
48,1012,ladu,422,50,2025-01-30
49,1013,tallinn,119,25,2025-02-06
50,1013,tartu,36,27,2025-01-07
51,1013,pärnu,75,27,2025-02-01
52,1013,ladu,483,24,2025-01-20
53,1014,tallinn,14,20,2025-01-06
54,1014,tartu,75,19,2025-01-11
55,1014,pärnu,46,10,2025-02-14
56,1014,ladu,282,24,2024-10-31
57,1015,tallinn,82,15,2025-02-14
58,1015,tartu,82,15,2024-10-25
59,1015,pärnu,-22,43,2025-02-07
60,1015,ladu,288,41,2025-01-29
61,1016,tallinn,6,30,2025-01-23
62,1016,tartu,142,23,2025-02-06
63,1016,pärnu,103,33,2025-01-12
64,1016,ladu,349,46,2025-02-14
65,1017,tallinn,68,12,2025-01-26
66,1017,tartu,49,15,2025-02-24
67,1017,pärnu,71,20,2025-01-27
68,1017,ladu,343,37,2025-02-27
69,1018,tallinn,78,47,2024-11-05
70,1018,tartu,106,34,2024-09-20
71,1018,pärnu,0,36,2025-01-21
72,1018,ladu,316,14,2025-02-11
73,1019,tallinn,4956,33,2025-02-21
74,1019,tartu,2,39,2025-02-23
75,1019,pärnu,7372,31,2025-01-24
76,1019,ladu,224,15,2025-01-08
77,1020,tallinn,78,49,2025-01-18
78,1020,tartu,88,21,2025-01-28
79,1020,pärnu,0,42,2025-02-23
80,1020,ladu,362,24,2025-02-04
81,1021,tallinn,70,22,2025-01-19
82,1021,tartu,11,15,2025-01-18
83,1021,pärnu,89,15,2025-01-20
84,1021,ladu,9,27,2025-02-21
85,1022,tallinn,56,26,2025-02-15
86,1022,tartu,145,39,2025-02-05
87,1022,pärnu,96,34,2024-04-20
88,1022,ladu,461,34,2025-01-11
89,1023,tallinn,86,37,2025-02-22
90,1023,tartu,129,30,2025-01-03
91,1023,pärnu,110,15,2025-02-10
92,1023,ladu,79,49,2025-01-23
93,1024,tallinn,2347,50,2025-02-08
94,1024,tartu,3,32,2025-02-22
95,1024,pärnu,80,48,2025-02-19
96,1024,ladu,402,13,2025-01-16
97,1025,tallinn,1,34,2025-01-24
98,1025,tartu,95,18,2025-02-10
99,1025,pärnu,133,15,2025-01-06
100,1025,ladu,284,41,2025-02-05
101,1026,tallinn,41,48,2025-01-06
102,1026,tartu,81,38,2025-02-18
103,1026,pärnu,140,36,2025-01-17
104,1026,ladu,398,27,2024-07-10
105,1027,tallinn,78,38,2025-01-25
106,1027,tartu,38,11,2024-08-04
107,1027,pärnu,26,20,2025-01-24
108,1027,ladu,146,24,2025-02-18
109,1028,tallinn,134,32,2024-05-16
110,1028,tartu,75,27,2024-08-26
111,1028,pärnu,116,31,2025-02-04
112,1028,ladu,11,30,2025-01-21
113,1029,tallinn,59,14,2025-01-22
114,1029,tartu,31,38,2025-01-12
115,1029,pärnu,78,11,2025-02-14
116,1029,ladu,14,17,2024-10-27
117,1030,tallinn,90,12,2025-01-04
118,1030,tartu,24,39,2025-02-06
119,1030,pärnu,112,44,2025-02-16
120,1030,ladu,111,26,2025-01-05
121,1031,tallinn,17,37,2024-04-26
122,1031,tartu,130,28,2025-02-20
123,1031,pärnu,66,47,2025-01-30
124,1031,ladu,323,16,2025-02-06
125,1032,tallinn,149,50,2024-05-08
126,1032,tartu,35,27,2025-01-15
127,1032,pärnu,100,14,2025-02-24
128,1032,ladu,435,35,2025-02-01
129,1033,tallinn,100,43,2025-02-22
130,1033,tartu,84,11,2025-01-01
131,1033,pärnu,112,35,2025-01-13
132,1033,ladu,384,38,2025-02-04
133,1034,tallinn,130,42,2025-02-04
134,1034,tartu,123,16,2025-02-06
135,1034,pärnu,146,40,2025-02-03
136,1034,ladu,200,14,2025-01-15
137,1035,tallinn,65,28,2025-01-12
138,1035,tartu,66,33,2025-01-26
139,1035,pärnu,100,20,2024-07-08
140,1035,ladu,57,28,2025-01-01
141,1036,tallinn,124,29,2025-02-10
142,1036,tartu,87,20,2025-02-22
143,1036,pärnu,12,18,2025-02-02
144,1036,ladu,181,25,2025-02-04
145,1037,tallinn,82,50,2025-01-13
146,1037,tartu,81,16,2025-02-15
147,1037,pärnu,141,17,2025-01-16
148,1037,ladu,450,14,2024-09-19
149,1038,tallinn,3934,50,2025-01-21
150,1038,tartu,122,42,2024-11-29
151,1038,pärnu,105,40,2025-02-16
152,1038,ladu,100,12,2025-01-04
153,1039,tallinn,135,36,2025-02-21
154,1039,tartu,88,27,2024-06-22
155,1039,pärnu,124,21,2025-02-22
156,1039,ladu,184,38,2025-01-08
157,1040,tallinn,11,50,2024-07-09
158,1040,tartu,37,15,2025-02-24
159,1040,pärnu,4604,28,2025-01-29
160,1040,ladu,334,22,2024-11-19
161,1041,tallinn,39,14,2025-02-22
162,1041,tartu,110,37,2025-02-23
163,1041,pärnu,142,18,2025-02-01
164,1041,ladu,30,11,2024-05-10
165,1042,tallinn,39,40,2025-01-28
166,1042,tartu,123,22,2025-02-08
167,1042,pärnu,26,11,2025-02-18
168,1042,ladu,410,48,2025-01-31
169,1043,tallinn,3,34,2025-01-31
170,1043,tartu,-7,15,2024-07-29
171,1043,pärnu,79,44,2025-01-26
172,1043,ladu,461,46,2025-01-15
173,1044,tallinn,106,19,2025-02-14
174,1044,tartu,111,26,2025-02-28
175,1044,pärnu,31,13,2025-02-16
176,1044,ladu,64,20,2025-02-17
177,1045,tallinn,106,29,2025-02-15
178,1045,tartu,135,34,2025-02-20
179,1045,pärnu,52,18,2025-02-11
180,1045,ladu,44,34,2025-02-09
181,1046,tallinn,3795,21,2024-06-21
182,1046,tartu,70,18,2024-10-31
183,1046,pärnu,62,20,2025-01-17
184,1046,ladu,358,42,2025-01-14
185,1047,tallinn,58,11,2025-01-27
186,1047,tartu,37,26,2025-02-14
187,1047,pärnu,121,41,2025-02-19
188,1047,ladu,119,28,2025-01-17
189,1048,tallinn,128,19,2025-01-19
190,1048,tartu,112,36,2025-01-11
191,1048,pärnu,32,46,2024-07-18
192,1048,ladu,415,44,2025-01-20
193,1049,tallinn,83,23,2025-01-21
194,1049,tartu,15,21,2025-01-24
195,1049,pärnu,89,49,2024-09-17
196,1049,ladu,386,15,2025-02-18
197,1050,tallinn,26,36,2025-02-05
198,1050,tartu,20,41,2025-02-23
199,1050,pärnu,78,28,2025-01-07
200,1050,ladu,378,32,2025-01-12
201,1051,tallinn,0,14,2025-02-13
202,1051,tartu,79,31,2025-01-10
203,1051,pärnu,109,18,2025-01-05
204,1051,ladu,217,21,2025-01-03
205,1052,tallinn,11,29,2025-01-24
206,1052,tartu,43,15,2025-02-15
207,1052,pärnu,73,30,2025-01-30
208,1052,ladu,422,41,2025-01-13
209,1053,tallinn,39,13,2025-02-13
210,1053,tartu,3,46,2025-02-11
211,1053,pärnu,146,31,2025-02-24
212,1053,ladu,184,34,2025-02-26
213,1054,tallinn,5,11,2025-02-10
214,1054,tartu,55,35,2025-02-01
215,1054,pärnu,135,21,2025-01-13
216,1054,ladu,472,18,2025-02-06
217,1055,tallinn,21,21,2024-04-10
218,1055,tartu,73,44,2025-01-24
219,1055,pärnu,144,48,2025-01-29
220,1055,ladu,154,38,2024-05-18
221,1056,tallinn,120,50,2025-02-25
222,1056,tartu,140,14,2025-01-10
223,1056,pärnu,112,38,2025-02-13
224,1056,ladu,153,16,2025-02-02
225,1057,tallinn,42,28,2025-02-24
226,1057,tartu,137,10,2025-02-15
227,1057,pärnu,99,42,2025-01-25
228,1057,ladu,272,26,2025-01-30
229,1058,tallinn,62,24,2025-01-03
230,1058,tartu,9479,17,2025-02-23
231,1058,pärnu,80,35,2025-01-17
232,1058,ladu,350,33,2025-01-11
233,1059,tallinn,101,35,2025-02-18
234,1059,tartu,119,25,2025-02-28
235,1059,pärnu,135,49,2025-01-17
236,1059,ladu,280,37,2024-08-13
237,1060,tallinn,92,48,2025-02-11
238,1060,tartu,135,37,2025-01-25
239,1060,pärnu,75,41,2025-01-11
240,1060,ladu,41,42,2025-02-17
241,1061,tallinn,80,27,2025-01-09
242,1061,tartu,57,31,2025-01-24
243,1061,pärnu,77,45,2025-01-10
244,1061,ladu,339,43,2025-02-10
245,1062,tallinn,76,27,2025-01-28
246,1062,tartu,14,31,2025-02-05
247,1062,pärnu,145,16,2025-02-02
248,1062,ladu,127,30,2025-01-25
249,1063,tallinn,119,41,2025-01-30
250,1063,tartu,107,37,2025-01-10
251,1063,pärnu,109,43,2025-01-01
252,1063,ladu,402,10,2025-02-18
253,1064,tallinn,16,41,2025-01-14
254,1064,tartu,150,23,2025-01-04
255,1064,pärnu,3,40,2025-02-08
256,1064,ladu,303,41,2025-01-21
257,1065,tallinn,96,22,2025-01-16
258,1065,tartu,145,41,2025-02-22
259,1065,pärnu,5,20,2025-01-03
260,1065,ladu,498,36,2025-01-26
261,1066,tallinn,116,19,2025-02-17
262,1066,tartu,23,13,2025-01-23
263,1066,pärnu,8,30,2025-01-30
264,1066,ladu,407,21,2025-01-29
265,1067,tallinn,36,49,2025-02-14
266,1067,tartu,77,45,2024-04-28
267,1067,pärnu,89,28,2025-01-12
268,1067,ladu,418,11,2025-01-24
269,1068,tallinn,136,35,2025-02-11
270,1068,tartu,44,12,2025-01-26
271,1068,pärnu,104,40,2024-09-18
272,1068,ladu,299,17,2025-01-20
273,1069,tallinn,85,33,2025-02-25
274,1069,tartu,116,39,2025-01-11
275,1069,pärnu,33,24,2025-02-05
276,1069,ladu,51,25,2024-04-01
277,1070,tallinn,24,12,2025-01-17
278,1070,tartu,136,21,2025-01-19
279,1070,pärnu,31,28,2025-01-23
280,1070,ladu,132,11,2025-01-25
281,1071,tallinn,115,21,2025-01-12
282,1071,tartu,99,33,2025-01-16
283,1071,pärnu,15,26,2025-02-27
284,1071,ladu,335,15,2024-03-11
285,1072,tallinn,37,21,2024-06-19
286,1072,tartu,49,27,2025-02-24
287,1072,pärnu,23,11,2025-01-26
288,1072,ladu,159,10,2025-02-20
289,1073,tallinn,110,46,2025-02-17
290,1073,tartu,105,24,2024-09-20
291,1073,pärnu,93,41,2024-05-08
292,1073,ladu,451,30,2024-06-02
293,1074,tallinn,41,33,2025-01-25
294,1074,tartu,77,49,2025-01-22
295,1074,pärnu,126,40,2025-01-17
296,1074,ladu,165,40,2025-01-24
297,1075,tallinn,83,39,2024-11-17
298,1075,tartu,15,33,2025-02-03
299,1075,pärnu,116,16,2025-02-14
300,1075,ladu,463,20,2025-01-11
301,1076,tallinn,138,29,2025-02-24
302,1076,tartu,145,21,2025-02-28
303,1076,pärnu,102,14,2025-02-09
304,1076,ladu,235,13,2025-02-04
305,1077,tallinn,5,10,2025-01-04
306,1077,tartu,145,34,2025-01-26
307,1077,pärnu,80,36,2025-01-13
308,1077,ladu,349,39,2025-02-17
309,1078,tallinn,48,20,2025-01-03
310,1078,tartu,57,22,2025-01-07
311,1078,pärnu,11,31,2025-01-11
312,1078,ladu,343,11,2025-02-02
313,1079,tallinn,105,30,2025-02-27
314,1079,tartu,139,37,2024-08-09
315,1079,pärnu,112,25,2025-01-15
316,1079,ladu,414,15,2024-11-19
317,1080,tallinn,22,32,2025-01-10
318,1080,tartu,12,29,2025-02-27
319,1080,pärnu,97,47,2024-11-10
320,1080,ladu,27,50,2025-02-19
321,1081,tallinn,113,12,2025-02-11
322,1081,tartu,8,39,2025-02-04
323,1081,pärnu,98,44,2025-01-30
324,1081,ladu,25,26,2025-01-26
325,1082,tallinn,23,48,2025-02-10
326,1082,tartu,100,39,2025-02-19
327,1082,pärnu,90,50,2024-04-02
328,1082,ladu,224,16,2025-01-17
329,1083,tallinn,134,29,2025-02-08
330,1083,tartu,66,31,2025-01-17
331,1083,pärnu,125,21,2024-03-12
332,1083,ladu,17,24,2025-02-24
333,1084,tallinn,54,18,2025-02-25
334,1084,tartu,140,45,2025-01-12
335,1084,pärnu,62,14,2025-02-24
336,1084,ladu,364,26,2025-02-03
337,1085,tallinn,46,44,2025-01-05
338,1085,tartu,2,33,2024-11-26
339,1085,pärnu,10,20,2025-01-11
340,1085,ladu,213,14,2024-05-02
341,1086,tallinn,124,34,2025-02-16
342,1086,tartu,74,33,2025-01-14
343,1086,pärnu,143,49,2024-06-17
344,1086,ladu,182,44,2025-01-26
345,1087,tallinn,81,13,2025-01-04
346,1087,tartu,46,26,2025-02-28
347,1087,pärnu,134,50,2025-01-22
348,1087,ladu,68,29,2025-02-12
349,1088,tallinn,79,49,2025-02-18
350,1088,tartu,26,30,2025-01-23
351,1088,pärnu,130,45,2025-02-16
352,1088,ladu,10,38,2025-01-16
353,1089,tallinn,53,22,2025-02-28
354,1089,tartu,66,12,2024-06-21
355,1089,pärnu,21,31,2025-02-08
356,1089,ladu,1959,18,2025-01-17
357,1090,tallinn,33,16,2025-02-15
358,1090,tartu,125,25,2025-01-26
359,1090,pärnu,23,50,2025-02-04
360,1090,ladu,299,42,2025-01-07
361,1091,tallinn,31,22,2025-02-05
362,1091,tartu,35,27,2025-01-18
363,1091,pärnu,-25,34,2025-02-24
364,1091,ladu,363,36,2025-01-25
365,1092,tallinn,119,36,2025-02-18
366,1092,tartu,4,45,2025-02-28
367,1092,pärnu,33,27,2025-01-16
368,1092,ladu,250,18,2025-01-24
369,1093,tallinn,89,32,2025-02-07
370,1093,tartu,82,47,2025-02-08
371,1093,pärnu,102,41,2025-02-06
372,1093,ladu,118,30,2025-02-27
373,1094,tallinn,56,26,2025-01-31
374,1094,tartu,144,14,2025-01-03
375,1094,pärnu,15,35,2024-08-19
376,1094,ladu,287,45,2025-01-02
377,1095,tallinn,138,39,2025-02-14
378,1095,tartu,142,17,2025-02-04
379,1095,pärnu,106,22,2025-01-10
380,1095,ladu,421,28,2025-02-16
381,1096,tallinn,95,31,2025-01-23
382,1096,tartu,51,43,2025-02-22
383,1096,pärnu,103,33,2025-02-10
384,1096,ladu,117,15,2024-11-11
385,1097,tallinn,83,23,2025-02-18
386,1097,tartu,141,18,2025-01-02
387,1097,pärnu,23,16,2025-01-26
388,1097,ladu,443,13,2025-02-08
389,1098,tallinn,87,39,2025-01-21
390,1098,tartu,141,42,2025-02-19
391,1098,pärnu,55,44,2025-02-26
392,1098,ladu,433,43,2025-02-26
393,1099,tallinn,68,48,2025-01-11
394,1099,tartu,112,26,2025-02-08
395,1099,pärnu,27,34,2024-09-03
396,1099,ladu,349,39,2025-01-18
397,1100,tallinn,41,37,2025-01-26
398,1100,tartu,26,35,2025-01-07
399,1100,pärnu,9850,50,2025-01-08
400,1100,ladu,19,32,2025-02-28
401,1101,tallinn,85,15,2025-01-24
402,1101,tartu,3,46,2025-02-03
403,1101,pärnu,138,43,2025-02-19
404,1101,ladu,238,17,2025-02-08
405,1102,tallinn,43,27,2025-01-15
406,1102,tartu,117,15,2025-02-04
407,1102,pärnu,104,14,2025-02-07
408,1102,ladu,9429,15,2025-01-05
409,1103,tallinn,38,37,2025-01-25
410,1103,tartu,30,22,2025-02-24
411,1103,pärnu,7,15,2025-01-29
412,1103,ladu,-19,50,2025-02-02
413,1104,tallinn,11,36,2025-02-24
414,1104,tartu,147,33,2025-01-03
415,1104,pärnu,81,12,2025-02-06
416,1104,ladu,167,18,2025-01-28
417,1105,tallinn,140,15,2025-02-02
418,1105,tartu,79,41,2025-01-22
419,1105,pärnu,81,30,2025-02-11
420,1105,ladu,244,15,2025-01-09
421,1106,tallinn,137,50,2025-01-05
422,1106,tartu,117,28,2025-02-19
423,1106,pärnu,97,11,2025-01-23
424,1106,ladu,468,14,2025-02-14
425,1107,tallinn,144,25,2025-02-22
426,1107,tartu,38,11,2025-01-24
427,1107,pärnu,63,34,2024-03-23
428,1107,ladu,430,31,2025-02-25
429,1108,tallinn,115,36,2024-09-10
430,1108,tartu,140,46,2025-02-06
431,1108,pärnu,112,28,2024-05-04
432,1108,ladu,5854,37,2025-01-16
433,1109,tallinn,87,11,2025-01-14
434,1109,tartu,66,18,2024-10-07
435,1109,pärnu,83,34,2025-01-12
436,1109,ladu,347,30,2025-01-09
437,1110,tallinn,147,22,2025-02-19
438,1110,tartu,103,23,2025-01-23
439,1110,pärnu,120,33,2025-01-15
440,1110,ladu,146,43,2025-01-26
441,1111,tallinn,88,24,2025-02-26
442,1111,tartu,20,24,2025-02-11
443,1111,pärnu,6,38,2024-08-07
444,1111,ladu,-46,47,2024-04-13
445,1112,tallinn,69,18,2024-11-08
446,1112,tartu,43,28,2025-02-12
447,1112,pärnu,4671,20,2025-01-22
448,1112,ladu,92,39,2025-01-23
449,1113,tallinn,139,50,2025-02-22
450,1113,tartu,20,49,2025-02-25
451,1113,pärnu,122,48,2025-01-02
452,1113,ladu,475,14,2025-02-13
453,1114,tallinn,134,32,2024-08-19
454,1114,tartu,14,33,2025-02-04
455,1114,pärnu,115,30,2025-02-21
456,1114,ladu,24,46,2025-01-24
457,1115,tallinn,39,30,2025-01-01
458,1115,tartu,4,25,2024-10-24
459,1115,pärnu,65,24,2025-01-12
460,1115,ladu,214,38,2025-01-25
461,1116,tallinn,149,40,2025-02-13
462,1116,tartu,115,14,2025-02-20
463,1116,pärnu,32,22,2025-02-15
464,1116,ladu,331,26,2025-02-19
465,1117,tallinn,33,43,2025-01-20
466,1117,tartu,6458,50,2025-01-28
467,1117,pärnu,14,21,2025-02-12
468,1117,ladu,479,12,2025-02-11
469,1118,tallinn,146,38,2025-01-08
470,1118,tartu,119,15,2025-02-25
471,1118,pärnu,48,15,2025-01-31
472,1118,ladu,270,24,2025-01-14
473,1119,tallinn,66,45,2025-02-17
474,1119,tartu,110,40,2025-02-09
475,1119,pärnu,119,37,2025-01-26
476,1119,ladu,175,24,2024-05-04
477,1120,tallinn,30,27,2025-02-14
478,1120,tartu,99,48,2025-02-13
479,1120,pärnu,105,45,2025-02-13
480,1120,ladu,35,34,2025-02-23
481,1121,tallinn,64,39,2025-02-22
482,1121,tartu,60,28,2025-01-18
483,1121,pärnu,55,23,2024-04-08
484,1121,ladu,56,37,2025-02-17
485,1122,tallinn,16,14,2025-01-28
486,1122,tartu,95,10,2025-01-23
487,1122,pärnu,98,23,2025-02-14
488,1122,ladu,143,40,2025-02-20
489,1123,tallinn,136,15,2025-02-28
490,1123,tartu,54,28,2025-01-11
491,1123,pärnu,91,16,2025-02-19
492,1123,ladu,39,26,2025-02-11
493,1124,tallinn,63,19,2025-01-23
494,1124,tartu,127,32,2025-01-03
