product_id,product_name,category,subcategory,supplier,cost_price,retail_price,eco_certified,created_at
1328,Õhuline Goretex Kingad,Jalanõusid,Kingad,Haapsalu Villased Oü,165.23,274.87,,2022-05-19
1330,Trendikas Trikoo Chino Püksid,Laste_riided,Püksid,Riia Stils Sia,106.54,167.23,,2021-10-21
1342,Klassikaline Flanellne Cargo Püksid,Meeste_riided,Püksid,Itaalia Moda Srl,131.66,208.11,,2022-07-01
1032,Boheemlaslik Seemisnahkne Oxfordid,Jalanõusid,Kingad,Pärnu Kudumid Oü,132.11,198.42,,2024-03-08
1051,Soe Merino Villane Topik,Naiste_riided,Pluusid,Balti Mood Oü,131.92,208.83,,2023-04-28
1079,Trendikas Džersii Pullover,Naiste_riided,Pusad,Leedu Linane Uab,197.7,291.36,,2022-07-19
1080,Minimalistlik Softshell Chino Püksid,Laste_riided,Püksid,Balti Mood Oü,35.75,51.5,,2024-10-08
1090,Moodne Merino Villane Triiksärk,Meeste_riided,Särgid,Leedu Linane Uab,197.07,281.19,,2022-09-30
1103,Elegantne Siidine Müts,Aksessuaarid,Mütsid,Eesti Nahk As,112.53,173.62,,2023-02-06
1182,Mugav Džersii Pusa,Naiste_riided,Pusad,Riia Stils Sia,109.17,180.14,,2023-02-28
1198,Õhuline Sünteetiline Kõrge Kontsaga Kingad,Jalanõusid,Kontsad,Itaalia Moda Srl,186.77,291.72,,2023-06-23
1245,Trendikas Nahkne Oxfordid,Jalanõusid,Kingad,Leedu Linane Uab,154.84,228.81,,2023-10-04
1250,Sportlik Linane Jakk,Naiste_riided,Jakid,Vilma Design Oü,174.06,265.2,,2024-12-08
1256,Klassikaline Puuvillane Skaterkleit,Naiste_riided,Kleidid,Türgi Tekstil A.ş.,176.78,296.4,,2020-07-28
1261,Vintage Nahkne Tossud,Jalanõusid,Tossud,Riia Stils Sia,305.72,179.95,,2020-07-28
1265,Soe Flanellne Chino Püksid,Meeste_riided,Püksid,Leedu Linane Uab,181.16,269.85,,2023-02-02
1282,Moodne Villane Kaelasall,Aksessuaarid,Sallid,Riia Stils Sia,11.42,16.62,,2020-12-23
1290,Soe Trikoo Pühapäevakleit,Laste_riided,Kleidid,Riia Stils Sia,72.64,105.23,,2024-02-13
