product_id,product_name,category,subcategory,supplier,cost_price,retail_price,eco_certified,created_at
1351,Vintage Nahkne Tossud,Jalanõusid,Tossud,Riia Stils Sia,305.72,179.95,,2020-07-28
1010,Klassikaline Puust Nahkvöö,Aksessuaarid,Vööd,Eesti Nahk As,186.77,111.74,1,2022-05-18
1027,Praktiline Viskoosne Jakk,Naiste_riided,Jakid,Nordic Fashion Group Oü,346.7,213.35,,2023-12-25
1043,Elegantne Orgaaniline Tuulejope,Laste_riided,Jakid,Eesti Nahk As,128.44,87.06,,2022-04-12
1076,Klassikaline Džersii Bleiser,Meeste_riided,Jakid,Nordic Fashion Group Oü,89.29,53.01,1,2023-10-06
1110,Moodne Polüester Slim-Fit Särk,Meeste_riided,Särgid,Tallinna Rõivatehas Oü,151.08,100.78,,2023-09-21
1206,Vintage Villane Kangasvöö,Aksessuaarid,Vööd,Soome Tehdas Oy,22.7,13.53,1,2023-06-17
1212,Minimalistlik Kashmiir Bleiser,Naiste_riided,Jakid,Tallinna Rõivatehas Oü,276.2,185.46,,2021-10-28
1261,Vintage Nahkne Tossud,Jalanõusid,Tossud,Riia Stils Sia,305.72,179.95,,2020-07-28
1353,Minimalistlik Kashmiir Bleiser,Naiste_riided,Jakid,Tallinna Rõivatehas Oü,276.2,185.46,,2021-10-28
