interval_start,sales_count,sales_count_percent,total_sales_value,total_sales_percent,avg_sale_value
2023-01-01 00:00:00+00,261,6.11,80197.19,6.51,307.27
2023-02-01 00:00:00+00,276,6.46,80345.68,6.52,291.11
2023-03-01 00:00:00+00,341,7.98,90910.99,7.38,266.6
2023-04-01 00:00:00+00,341,7.98,100785.07,8.18,295.56
2023-05-01 00:00:00+00,343,8.03,93356.11,7.58,272.18
2023-06-01 00:00:00+00,424,9.93,125162.84,10.16,295.2
2023-07-01 00:00:00+00,423,9.9,122213.05,9.92,288.92
2023-08-01 00:00:00+00,425,9.95,120460.64,9.78,283.44
2023-09-01 00:00:00+00,328,7.68,96156.08,7.81,293.16
2023-10-01 00:00:00+00,325,7.61,93883.28,7.62,288.87
2023-11-01 00:00:00+00,326,7.63,99124.88,8.05,304.06
2023-12-01 00:00:00+00,458,10.72,129187.75,10.49,282.07
