city,count
 Haapsalu,1
 Jõhvi,1
 Kuressaare,2
 Narva,3
 Paide,1
 Pärnu,11
 Rakvere,1
 Tallinn,23
 Tartu,9
 Viljandi,2
 Võru,2
haapsalu,3
Haapsalu,82
HAAPSALU,4
jõhvi,2
Jõhvi,79
JÕHVI,1
kuressaare,1
Kuressaare,90
KURESSAARE,2
Kuressaare ,3
narva,1
Narva,168
Narva ,5
paide,3
Paide,60
PAIDE,1
Paide ,1
pärnu,9
Pärnu,310
PÄRNU,9
Pärnu ,7
rakvere,2
Rakvere,98
RAKVERE,4
Rakvere ,2
tallinn,26
Tallinn,1135
TALLINN,23
Tallinn ,31
tartu,17
Tartu,607
TARTU,17
Tartu ,8
valga,2
Valga,92
viljandi,2
Viljandi,103
VILJANDI,2
Viljandi ,3
võru,3
Võru,74
VÕRU,1
Võru ,1
