product_id,product_name,issue_1,issue_2,issue_3,issue_4,created_at,cost_price,retail_price
1351,Vintage Nahkne Tossud,,,,Retail below cost,2020-07-28,305.72,179.95
1010,Klassikaline Puust Nahkvöö,,,,Retail below cost,2022-05-18,186.77,111.74
1027,Praktiline Viskoosne Jakk,,,,Retail below cost,2023-12-25,346.7,213.35
1043,Elegantne Orgaaniline Tuulejope,,,,Retail below cost,2022-04-12,128.44,87.06
1076,Klassikaline Džersii Bleiser,,,,Retail below cost,2023-10-06,89.29,53.01
1110,Moodne Polüester Slim-Fit Särk,,,,Retail below cost,2023-09-21,151.08,100.78
1206,Vintage Villane Kangasvöö,,,,Retail below cost,2023-06-17,22.7,13.53
1212,Minimalistlik Kashmiir Bleiser,,,,Retail below cost,2021-10-28,276.2,185.46
1261,Vintage Nahkne Tossud,,,,Retail below cost,2020-07-28,305.72,179.95
1353,Minimalistlik Kashmiir Bleiser,,,,Retail below cost,2021-10-28,276.2,185.46
