city,channel,category,total_quantity,quantity_percentage,total_revenue,revenue_percentage
Haapsalu,Online,Aksessuaarid,31,36.47,3781.89,34.67
Haapsalu,Online,Jalanõusid,30,42.86,8235.42,49.63
Haapsalu,Online,Laste_riided,35,37.23,2744.91,41.71
Haapsalu,Online,Meeste_riided,39,32.77,6536.97,30.65
Haapsalu,Online,Naiste_riided,36,40,7936.79,42.89
Haapsalu,Pärnu,Aksessuaarid,9,10.59,1547.07,14.18
Haapsalu,Pärnu,Jalanõusid,5,7.14,1254.61,7.56
Haapsalu,Pärnu,Laste_riided,18,19.15,921.04,14
Haapsalu,Pärnu,Meeste_riided,19,15.97,3669.2,17.2
Haapsalu,Pärnu,Naiste_riided,6,6.67,968.4,5.23
Haapsalu,Tallinn,Aksessuaarid,32,37.65,3935.23,36.07
Haapsalu,Tallinn,Jalanõusid,24,34.29,5334.78,32.15
Haapsalu,Tallinn,Laste_riided,23,24.47,1575.71,23.94
Haapsalu,Tallinn,Meeste_riided,45,37.82,7667.35,35.95
Haapsalu,Tallinn,Naiste_riided,34,37.78,6935.89,37.48
Haapsalu,Tartu,Aksessuaarid,13,15.29,1644.92,15.08
Haapsalu,Tartu,Jalanõusid,11,15.71,1768.32,10.66
Haapsalu,Tartu,Laste_riided,18,19.15,1339.27,20.35
Haapsalu,Tartu,Meeste_riided,16,13.45,3455.77,16.2
Haapsalu,Tartu,Naiste_riided,14,15.56,2662.23,14.39
Jõhvi,Online,Aksessuaarid,39,37.5,4185.82,31.14
Jõhvi,Online,Jalanõusid,32,34.41,8766.21,40.33
Jõhvi,Online,Laste_riided,43,37.72,3118.72,36.23
Jõhvi,Online,Meeste_riided,39,37.5,7420.56,44.47
Jõhvi,Online,Naiste_riided,36,37.5,5165.71,32.48
Jõhvi,Pärnu,Aksessuaarid,22,21.15,2553.79,19
Jõhvi,Pärnu,Jalanõusid,8,8.6,1108.52,5.1
Jõhvi,Pärnu,Laste_riided,12,10.53,1247.02,14.49
Jõhvi,Pärnu,Meeste_riided,6,5.77,931.64,5.58
Jõhvi,Pärnu,Naiste_riided,14,14.58,2716.17,17.08
Jõhvi,Tallinn,Aksessuaarid,27,25.96,4201.22,31.25
Jõhvi,Tallinn,Jalanõusid,35,37.63,8111.92,37.32
Jõhvi,Tallinn,Laste_riided,44,38.6,3344.98,38.86
Jõhvi,Tallinn,Meeste_riided,29,27.88,3772.5,22.61
Jõhvi,Tallinn,Naiste_riided,34,35.42,5478.7,34.45
Jõhvi,Tartu,Aksessuaarid,16,15.38,2501.29,18.61
Jõhvi,Tartu,Jalanõusid,18,19.35,3747.93,17.24
Jõhvi,Tartu,Laste_riided,15,13.16,898.01,10.43
Jõhvi,Tartu,Meeste_riided,30,28.85,4561.84,27.34
Jõhvi,Tartu,Naiste_riided,12,12.5,2542.73,15.99
Kuressaare,Online,Aksessuaarid,46,51.11,3560.97,38.26
Kuressaare,Online,Jalanõusid,24,26.09,5992.41,28.41
Kuressaare,Online,Laste_riided,26,27.08,2220.73,27.06
Kuressaare,Online,Meeste_riided,32,29.91,6509.26,32.02
Kuressaare,Online,Naiste_riided,43,40.95,7058.31,36.59
Kuressaare,Pärnu,Jalanõusid,7,7.61,558.49,2.65
Kuressaare,Pärnu,Laste_riided,6,6.25,523.08,6.37
Kuressaare,Pärnu,Meeste_riided,17,15.89,3364.08,16.55
Kuressaare,Pärnu,Naiste_riided,11,10.48,2377.11,12.32
Kuressaare,Tallinn,Aksessuaarid,35,38.89,4297.16,46.17
