city,channel,product_category,total_quantity_sold,total_revenue
Haapsalu,Online,Aksessuaarid,31,3781.89
Haapsalu,Online,Jalanõusid,30,8235.42
Haapsalu,Online,Laste_riided,35,2744.91
Haapsalu,Online,Meeste_riided,39,6536.97
Haapsalu,Online,Naiste_riided,36,7936.79
Haapsalu,Pärnu,Aksessuaarid,9,1547.07
Haapsalu,Pärnu,Jalanõusid,5,1254.61
Haapsalu,Pärnu,Laste_riided,18,921.04
Haapsalu,Pärnu,Meeste_riided,19,3669.2
Haapsalu,Pärnu,Naiste_riided,6,968.4
Haapsalu,Tallinn,Aksessuaarid,32,3935.23
Haapsalu,Tallinn,Jalanõusid,24,5334.78
Haapsalu,Tallinn,Laste_riided,23,1575.71
Haapsalu,Tallinn,Meeste_riided,45,7667.35
Haapsalu,Tallinn,Naiste_riided,34,6935.89
Haapsalu,Tartu,Aksessuaarid,13,1644.92
Haapsalu,Tartu,Jalanõusid,11,1768.32
Haapsalu,Tartu,Laste_riided,18,1339.27
Haapsalu,Tartu,Meeste_riided,16,3455.77
Haapsalu,Tartu,Naiste_riided,14,2662.23
Jõhvi,Online,Aksessuaarid,39,4185.82
Jõhvi,Online,Jalanõusid,32,8766.21
Jõhvi,Online,Laste_riided,43,3118.72
Jõhvi,Online,Meeste_riided,39,7420.56
Jõhvi,Online,Naiste_riided,36,5165.71
Jõhvi,Pärnu,Aksessuaarid,22,2553.79
Jõhvi,Pärnu,Jalanõusid,8,1108.52
Jõhvi,Pärnu,Laste_riided,12,1247.02
Jõhvi,Pärnu,Meeste_riided,6,931.64
Jõhvi,Pärnu,Naiste_riided,14,2716.17
Jõhvi,Tallinn,Aksessuaarid,27,4201.22
Jõhvi,Tallinn,Jalanõusid,35,8111.92
Jõhvi,Tallinn,Laste_riided,44,3344.98
Jõhvi,Tallinn,Meeste_riided,29,3772.5
Jõhvi,Tallinn,Naiste_riided,34,5478.7
Jõhvi,Tartu,Aksessuaarid,16,2501.29
Jõhvi,Tartu,Jalanõusid,18,3747.93
Jõhvi,Tartu,Laste_riided,15,898.01
Jõhvi,Tartu,Meeste_riided,30,4561.84
Jõhvi,Tartu,Naiste_riided,12,2542.73
Kuressaare,Online,Aksessuaarid,46,3560.97
Kuressaare,Online,Jalanõusid,24,5992.41
Kuressaare,Online,Laste_riided,26,2220.73
Kuressaare,Online,Meeste_riided,32,6509.26
Kuressaare,Online,Naiste_riided,43,7058.31
Kuressaare,Pärnu,Jalanõusid,7,558.49
Kuressaare,Pärnu,Laste_riided,6,523.08
Kuressaare,Pärnu,Meeste_riided,17,3364.08
Kuressaare,Pärnu,Naiste_riided,11,2377.11
Kuressaare,Tallinn,Aksessuaarid,35,4297.16
Kuressaare,Tallinn,Jalanõusid,42,8820.37
Kuressaare,Tallinn,Laste_riided,45,3769.42
Kuressaare,Tallinn,Meeste_riided,35,6453.92
Kuressaare,Tallinn,Naiste_riided,30,6409
Kuressaare,Tartu,Aksessuaarid,9,1448.19
Kuressaare,Tartu,Jalanõusid,19,5720.4
Kuressaare,Tartu,Laste_riided,19,1692.29
Kuressaare,Tartu,Meeste_riided,23,4000.3
Kuressaare,Tartu,Naiste_riided,21,3444.79
Narva,Online,Aksessuaarid,37,4281.8
Narva,Online,Jalanõusid,79,12807.68
Narva,Online,Laste_riided,48,4363.08
Narva,Online,Meeste_riided,60,11490.93
Narva,Online,Naiste_riided,56,10252.64
Narva,Pärnu,Aksessuaarid,17,2259.84
Narva,Pärnu,Jalanõusid,10,1892.82
Narva,Pärnu,Laste_riided,9,637.33
Narva,Pärnu,Meeste_riided,21,3826.45
Narva,Pärnu,Naiste_riided,11,3089.89
Narva,Tallinn,Aksessuaarid,39,3938.28
Narva,Tallinn,Jalanõusid,56,11028.4
